locs,spores,techs,energy_cap,cases,to_locs,names,colors,inheritance,locs_coordinates_lat,locs_coordinates_lon,to_locs_coordinates_lat,to_locs_coordinates_lon,carrier_in,carrier_out,case_spore,spores_numeric
BE,1,transmission_hvac:NL_2,2.55,spores_eur_2050,NL_2,Transmission - Electricity HVAC,#795548,power_transmission.transmission,51.31726620661365,4.378136579035989,51.38011179173071,5.075031073065831,electricity,electricity,spores_eur_2050_1,1
DE,1,import_elc_interconnector,6.0,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,52.02040854483887,7.279926060167003,,,electricity,electricity,spores_eur_2050_1,1
DE,1,transmission_hvac:NL_1,3.75,spores_eur_2050,NL_1,Transmission - Electricity HVAC,#795548,power_transmission.transmission,52.02040854483887,7.279926060167003,51.96367578600893,6.807852774557378,electricity,electricity,spores_eur_2050_1,1
DK,1,import_elc_interconnector,0.7,spores_eur_2050,,Import - Electricity interconnection,#ffc107,crossborder_import.supply,55.4325571130993,8.401542890776913,,,electricity,electricity,spores_eur_2050_1,1
DK,1,transmission_hvdc:NL_4,0.6999999999999998,spores_eur_2050,NL_4,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,55.4325571130993,8.401542890776913,53.45675484627952,6.7449528847875175,electricity,electricity,spores_eur_2050_1,1
NL,1,bss_liion,1.3194324083991773,spores_eur_2050,,Battery storage - Lithium,#19122b,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,bss_nas,0.0,spores_eur_2050,,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,bss_vanadium,4.4973714316159485,spores_eur_2050,,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,co2_atmosphere,2320.0,spores_eur_2050,,CO2 - Atmospheric emissions,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,,,co2_emitted,co2_emitted,spores_eur_2050_1,1
NL,1,co2_storage,1.0,spores_eur_2050,,CO2 - Capture and storage,#ffc107,curtailment.demand,52.0883139998647,5.3291269064473,,,co2_pure,co2_pure,spores_eur_2050_1,1
NL,1,demand_elc,42.0,spores_eur_2050,,Firm demand - Electricity,#ffc107,demand,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,demand_gas,31.0,spores_eur_2050,,Firm demand - Gas,#607d8b,demand,52.0883139998647,5.3291269064473,,,gas,gas,spores_eur_2050_1,1
NL,1,demand_hyd,43.0,spores_eur_2050,,Firm demand - Hydrogen,#3f51b5 ,demand,52.0883139998647,5.3291269064473,,,hydrogen,hydrogen,spores_eur_2050_1,1
NL,1,electrolyser_alk,0.0,spores_eur_2050,,Electrolyser - Alkaline,#3c7632,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_1,1
NL,1,electrolyser_pem,0.0,spores_eur_2050,,Electrolyser - PEM,#7e7a36,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_1,1
NL,1,electrolyser_soe,0.0,spores_eur_2050,,Electrolyser - SOE,#bc7967,electrolyser_plants.conversion,52.0883139998647,5.3291269064473,,,electricity,hydrogen,spores_eur_2050_1,1
NL,1,free_transmission:NL_1,3.6849345959806574,spores_eur_2050,NL_1,Free power transmission,#808080,power_transmission.transmission,52.0883139998647,5.3291269064473,51.96367578600893,6.807852774557378,electricity,electricity,spores_eur_2050_1,1
NL,1,free_transmission:NL_2,2.505755525266847,spores_eur_2050,NL_2,Free power transmission,#808080,power_transmission.transmission,52.0883139998647,5.3291269064473,51.38011179173071,5.075031073065831,electricity,electricity,spores_eur_2050_1,1
NL,1,free_transmission:NL_3,2.9897214784355497,spores_eur_2050,NL_3,Free power transmission,#808080,power_transmission.transmission,52.0883139998647,5.3291269064473,51.52388500203772,3.4380682444702297,electricity,electricity,spores_eur_2050_1,1
NL,1,free_transmission:NL_4,1.3912504699197137,spores_eur_2050,NL_4,Free power transmission,#808080,power_transmission.transmission,52.0883139998647,5.3291269064473,53.45675484627952,6.7449528847875175,electricity,electricity,spores_eur_2050_1,1
NL,1,import_ammonia_cracker,43.01330145138064,spores_eur_2050,,Import - Ammonia cracker,#d486af,terminal_import.supply,52.0883139998647,5.3291269064473,,,hydrogen,hydrogen,spores_eur_2050_1,1
NL,1,import_lng_terminal,27.96813395833334,spores_eur_2050,,Import - LNG terminal,#caa9e7,terminal_import.supply,52.0883139998647,5.3291269064473,,,gas,gas,spores_eur_2050_1,1
NL,1,load_shedding_elc,1.8437930931129551,spores_eur_2050,,Load shedding - Electricity,#000000,load_shedding.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,load_shedding_gas,0.0,spores_eur_2050,,Load shedding - Gas,#000000,load_shedding.supply,52.0883139998647,5.3291269064473,,,gas,gas,spores_eur_2050_1,1
NL,1,load_shedding_hyd,0.0,spores_eur_2050,,Load shedding - Hydrogen,#000000,load_shedding.supply,52.0883139998647,5.3291269064473,,,hydrogen,hydrogen,spores_eur_2050_1,1
NL,1,pp_ccgt_gas,2.422450100000003,spores_eur_2050,,CCGT - Gas,#c2d2f3,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,electricity,spores_eur_2050_1,1
NL,1,pp_ccgt_gas_ccs,0.0,spores_eur_2050,,CCGT - Gas /w CCS,#d6f0ef,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,electricity,spores_eur_2050_1,1
NL,1,pp_ccgt_hyd,3.231583215828385,spores_eur_2050,,CCGT - Hydrogen,#19122b,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,hydrogen,electricity,spores_eur_2050_1,1
NL,1,pp_nuclear_gen3,0.0,spores_eur_2050,,Nuclear - Gen III,#00bcd4,solid_fuel_power_plants.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,pp_nuclear_smr,15.578033287107653,spores_eur_2050,,Nuclear - SMR,#009688,solid_fuel_power_plants.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,pp_ocgt_gas,2.5129915041875712,spores_eur_2050,,OCGT - Gas,#17344c,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,electricity,spores_eur_2050_1,1
NL,1,pp_ocgt_hyd,0.7652943345970729,spores_eur_2050,,OCGT - Hydrogen,#185b48,gas_fired_power_plants.conversion_plus,52.0883139998647,5.3291269064473,,,hydrogen,electricity,spores_eur_2050_1,1
NL,1,pv_rooftop,0.0,spores_eur_2050,,Renewables - Rooftop PV,#ffeb3b,renewables.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,pv_utility,31.08179991183348,spores_eur_2050,,Renewables - Utility PV,#cddc39,renewables.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,reformer_atr_ccs_98,0.0,spores_eur_2050,,Reformer - ATR /w CCS,#b8bd20,reformer_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,hydrogen,spores_eur_2050_1,1
NL,1,reformer_smr,0.0,spores_eur_2050,,Reformer - SMR,#b8bd20,reformer_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,hydrogen,spores_eur_2050_1,1
NL,1,reformer_smr_ccs_90,0.0,spores_eur_2050,,Reformer - SMR /w CCS,#b8bd20,reformer_plants.conversion_plus,52.0883139998647,5.3291269064473,,,gas,hydrogen,spores_eur_2050_1,1
NL,1,saltcavern_gas,3.75,spores_eur_2050,,Salt cavern - Gas,#7e7a36,saltcavern_systems.storage,52.0883139998647,5.3291269064473,,,gas,gas,spores_eur_2050_1,1
NL,1,saltcavern_hyd,3.75,spores_eur_2050,,Salt cavern - Hydrogen,#bc7967,saltcavern_systems.storage,52.0883139998647,5.3291269064473,,,hydrogen,hydrogen,spores_eur_2050_1,1
NL,1,wind_offshore,0.0,spores_eur_2050,,Wind farm - offshore,#4caf50,renewables.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL,1,wind_onshore,9.132247143033275,spores_eur_2050,,Wind farm - onshore,#8bc34a,renewables.supply,52.0883139998647,5.3291269064473,,,electricity,electricity,spores_eur_2050_1,1
NL_1,1,free_transmission:NL,3.6849345959806574,spores_eur_2050,NL,Free power transmission,#808080,power_transmission.transmission,51.96367578600893,6.807852774557378,52.0883139998647,5.3291269064473,electricity,electricity,spores_eur_2050_1,1
NL_1,1,transmission_hvac:DE,3.75,spores_eur_2050,DE,Transmission - Electricity HVAC,#795548,power_transmission.transmission,51.96367578600893,6.807852774557378,52.02040854483887,7.279926060167003,electricity,electricity,spores_eur_2050_1,1
NL_2,1,free_transmission:NL,2.505755525266847,spores_eur_2050,NL,Free power transmission,#808080,power_transmission.transmission,51.38011179173071,5.075031073065831,52.0883139998647,5.3291269064473,electricity,electricity,spores_eur_2050_1,1
NL_2,1,transmission_hvac:BE,2.55,spores_eur_2050,BE,Transmission - Electricity HVAC,#795548,power_transmission.transmission,51.38011179173071,5.075031073065831,51.31726620661365,4.378136579035989,electricity,electricity,spores_eur_2050_1,1
NL_3,1,free_transmission:NL,2.9897214784355497,spores_eur_2050,NL,Free power transmission,#808080,power_transmission.transmission,51.52388500203772,3.4380682444702297,52.0883139998647,5.3291269064473,electricity,electricity,spores_eur_2050_1,1
NL_3,1,transmission_hvdc:UK,3.0000000000000004,spores_eur_2050,UK,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,51.52388500203772,3.4380682444702297,51.41852859078181,0.8455375006800074,electricity,electricity,spores_eur_2050_1,1
NL_4,1,free_transmission:NL,1.3912504699197137,spores_eur_2050,NL,Free power transmission,#808080,power_transmission.transmission,53.45675484627952,6.7449528847875175,52.0883139998647,5.3291269064473,electricity,electricity,spores_eur_2050_1,1
NL_4,1,transmission_hvdc:DK,0.6999999999999998,spores_eur_2050,DK,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,53.45675484627952,6.7449528847875175,55.4325571130993,8.401542890776913,electricity,electricity,spores_eur_2050_1,1
NL_4,1,transmission_hvdc:NO,0.7,spores_eur_2050,NO,Transmission - Electricity HVDC,#9c27b0,power_transmission.transmission,53.45675484627952,6.7449528847875175,58.0951126628901,6.621045450274671,electricity,electricity,spores_eur_2050_1,1
