,techs,locs,carriers,spores,total_carrier_con,case,names,colors,inheritance,lat_coords,lon_coords,carrier_in,carrier_out
74,bss_nas,NL,electricity,10,-13.034404179375104,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
75,bss_nas,NL,electricity,7,-2516.23575310972,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
76,bss_nas,NL,electricity,11,-16.246827909122064,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
77,bss_nas,NL,electricity,4,-2186.734439315925,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
78,bss_nas,NL,electricity,5,-7.4406036302730625,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
79,bss_nas,NL,electricity,34,-1137.2560580948575,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
80,bss_nas,NL,electricity,48,-67.01962809095708,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
81,bss_nas,NL,electricity,25,-58.69224833233419,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
82,bss_nas,NL,electricity,29,-39.87442201419787,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
83,bss_nas,NL,electricity,18,-17.550197008481916,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
84,bss_nas,NL,electricity,3,-34.779088732427105,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
85,bss_nas,NL,electricity,44,-69.98674144618016,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
86,bss_nas,NL,electricity,30,-1112.384173274383,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
87,bss_nas,NL,electricity,28,-1535.381058925664,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
88,bss_nas,NL,electricity,17,-1373.9747088016788,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
89,bss_nas,NL,electricity,43,-1025.846713978335,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
90,bss_nas,NL,electricity,31,-33.72930529340146,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
91,bss_nas,NL,electricity,45,-1048.81780725797,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
92,bss_nas,NL,electricity,15,-1378.462517008831,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
93,bss_nas,NL,electricity,27,-31.619164704514098,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
94,bss_nas,NL,electricity,32,-1340.851728019439,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
95,bss_nas,NL,electricity,6,-7.934504781286298,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
96,bss_nas,NL,electricity,42,-60.82994614046529,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
97,bss_nas,NL,electricity,26,-1374.6131497136594,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
98,bss_nas,NL,electricity,46,-57.166467458649166,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
99,bss_nas,NL,electricity,19,-851.8929706973641,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
100,bss_nas,NL,electricity,33,-22.63516091207972,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
101,bss_nas,NL,electricity,16,-11.271022026661509,spores_eur_2050,Battery storage - NaS,#17344c,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
102,bss_vanadium,NL,electricity,15,-1008.5441959441466,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
103,bss_vanadium,NL,electricity,47,-722.5749351321897,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
104,bss_vanadium,NL,electricity,19,-1120.2013660761993,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
105,bss_vanadium,NL,electricity,11,-211.92953705526816,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
106,bss_vanadium,NL,electricity,41,-841.5841789357315,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
107,bss_vanadium,NL,electricity,20,-896.0317599692931,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
108,bss_vanadium,NL,electricity,44,-1337.6230258849253,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
109,bss_vanadium,NL,electricity,50,-1043.1876121993473,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
110,bss_vanadium,NL,electricity,17,-1295.0314779861724,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
111,bss_vanadium,NL,electricity,12,-3589.782118057347,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
112,bss_vanadium,NL,electricity,18,-775.4926361121128,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
113,bss_vanadium,NL,electricity,14,-281.90336040012295,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
114,bss_vanadium,NL,electricity,5,-3281.584753641623,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
115,bss_vanadium,NL,electricity,46,-987.8989319085764,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
116,bss_vanadium,NL,electricity,29,-468.843767395637,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
117,bss_vanadium,NL,electricity,40,-669.3720442247038,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
118,bss_vanadium,NL,electricity,48,-1366.13540731005,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
119,bss_vanadium,NL,electricity,2,-6.454941656577103,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
120,bss_vanadium,NL,electricity,42,-1630.3141606135905,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
121,bss_vanadium,NL,electricity,16,-1018.0281770627095,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
122,bss_vanadium,NL,electricity,13,-972.1803649523197,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
123,bss_vanadium,NL,electricity,49,-1080.620320374359,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
124,bss_vanadium,NL,electricity,4,-19.988682446341844,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
125,bss_vanadium,NL,electricity,45,-934.4805472818812,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
126,bss_vanadium,NL,electricity,43,-1437.7717078675685,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
127,bss_vanadium,NL,electricity,22,-209.04666969667582,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
128,bss_vanadium,NL,electricity,25,-494.8474303033226,spores_eur_2050,Battery storage - Vanadium,#185b48,battery_systems.storage,52.0883139998647,5.3291269064473,electricity,electricity
